v_gene,d_gene,j_gene,cdr3_length,v_5p_del,v_3p_del,d_5p_del,d_3p_del,j_5p_del,j_3p_del,vd_insertion,dj_insertion,count
IGHV3-73*02,IGHD4-17*01,IGHJ4*02_F,45,215,2,1,5,0,0,9,0,1
IGHV3-64*04,IGHD3-22*01,IGHJ3*02_F,57,221,3,1,7,3,0,10,0,1
IGHV3-NL1*01,IGHD4-4*01,IGHJ6*03_F,57,221,1,2,5,0,0,6,0,1
IGHV3-NL1*01,IGHD2-15*01,IGHJ4*02_F,57,221,1,1,5,0,0,5,0,1
IGHV3-64*04,IGHD2-2*02,IGHJ5*02_F,57,221,1,1,3,2,0,2,0,1
IGHV3-23*04,IGHD4-17*01,IGHJ3*02_F,57,221,0,0,0,3,0,6,8,1
IGHV3-NL1*01,IGHD5-5*01,IGHJ4*02_F,57,221,1,0,0,4,0,9,5,1
IGHV3-23*04,IGHD3-10*01,IGHJ4*02_F,57,221,2,1,0,4,0,3,2,2
IGHV3-15*07,IGHD3-10*01,IGHJ4*02_F,57,227,1,1,9,7,0,8,8,1
IGHV3-64*04,IGHD5-5*01,IGHJ5*02_F,57,221,0,0,8,0,0,14,0,1
IGHV3-h*02,IGHD2-15*01,IGHJ5*02_F,66,227,2,2,7,8,0,9,14,1
IGHV4-61*02,IGHD3-3*01,IGHJ4*02_F,54,221,1,7,8,0,0,11,0,2
IGHV1-69*13,IGHD4/OR15-4b*01,IGHJ4*02_F,45,209,4,7,1,3,0,2,11,1
IGHV3-33*06,IGHD3-10*01,IGHJ4*02_F,57,221,3,5,5,4,0,3,12,1
IGHV3-23*04,IGHD3-9*01,IGHJ4*02_F,57,221,0,2,4,2,0,3,3,1
IGHV4-30-4*06,IGHD3-16*02,IGHJ2*01_F,57,152,0,3,12,1,0,3,0,1
IGHV3-23*04,IGHD3-3*01,IGHJ6*03_F,57,221,2,4,9,9,0,3,4,2
IGHV1-3*01,IGHD3-10*01,IGHJ5*02_F,75,239,0,3,0,8,0,12,12,5
IGHV1-3*01,IGHD6-19*01,IGHJ4*02_F,42,206,0,7,3,2,0,5,0,1
IGHV6-1*02,IGHD3/OR15-3b*01,IGHJ4*02_F,36,209,1,19,3,0,0,0,0,1
IGHV3-NL1*01,IGHD3-9*01,IGHJ6*02_F,57,221,0,5,8,7,0,3,0,1
IGHV1-8*91,IGHD6-19*01,IGHJ6*03_F,57,221,2,4,0,1,0,0,0,1
IGHV3-23*03,IGHD6-13*01,IGHJ4*02_F,45,209,0,10,0,4,0,4,8,1
IGHV3-23*04,IGHD3-10*01,IGHJ4*02_F,57,221,0,2,3,8,0,2,9,1
IGHV3-23*04,IGHD3-9*01,IGHJ4*02_F,57,221,1,13,5,5,0,3,19,1
IGHV3-NL1*01,IGHD3-10*01,IGHJ6*02_F,57,221,1,3,9,5,0,1,0,1
IGHV1-18*01,IGHD2-8*01,IGHJ4*02_F,54,218,1,5,3,6,0,6,4,1
IGHV1-69*13,IGHD2-2*03,IGHJ2*01_F,57,221,8,11,3,5,0,3,17,2
IGHV3-49*05,IGHD3-10*01,IGHJ3*02_F,57,227,0,3,1,1,0,0,1,1
IGHV3-64*04,IGHD6-19*01,IGHJ6*02_F,57,221,0,6,3,1,0,3,0,1
IGHV3-64*04,IGHD3-22*01,IGHJ4*02_F,57,221,1,5,0,7,0,11,0,1
IGHV3-64*04,IGHD6-19*01,IGHJ6*03_F,57,221,0,3,5,5,0,6,0,1
IGHV3-h*01,IGHD7-27*01,IGHJ4*02_F,21,182,0,6,4,8,0,0,0,1
IGHV3-NL1*01,IGHD3-16*01,IGHJ1*01_F,57,221,0,20,1,1,1,11,0,1
IGHV3-NL1*01,IGHD2-2*03,IGHJ6*03_F,57,221,2,13,5,13,0,14,2,8
IGHV3-23*04,IGHD2-2*02,IGHJ4*02_F,57,221,0,8,0,7,0,7,6,1
IGHV3-NL1*01,IGHD2-21*02,IGHJ6*03_F,57,221,1,8,9,0,0,0,4,1
IGHV3-NL1*01,IGHD3-22*01,IGHJ4*02_F,57,221,0,2,12,0,0,11,1,6
IGHV3-53*01,IGHD6-6*01,IGHJ5*02_F,57,218,0,0,0,4,0,9,3,1
IGHV3-NL1*01,IGHD1-26*01,IGHJ4*02_F,57,221,0,1,6,6,0,3,19,1
IGHV3-23*04,IGHD3/OR15-3b*01,IGHJ4*02_F,57,221,1,7,11,2,0,8,11,1
IGHV3-NL1*01,IGHD3-16*02,IGHJ4*02_F,57,221,0,16,11,1,0,10,10,1
IGHV3-NL1*01,IGHD4-17*01,IGHJ4*02_F,57,221,0,0,0,5,0,8,10,1
IGHV3-11*01,IGHD1-26*01,IGHJ4*02_F,45,209,2,4,3,1,0,1,6,1
IGHV3-NL1*01,IGHD2-2*03,IGHJ4*02_F,57,221,0,4,1,0,0,1,2,2
IGHV3-33*05,IGHD2-21*01,IGHJ6*03_F,66,230,0,1,6,14,0,3,13,1
IGHV1-8*91,IGHD1-26*01,IGHJ4*02_F,48,212,0,6,2,6,0,3,11,2
IGHV3-66*03,IGHD5-24*01,IGHJ6*03_F,57,218,0,1,6,13,0,9,5,1
IGHV3-23*04,IGHD6-19*01,IGHJ6*02_F,57,221,1,2,7,0,0,0,3,2
IGHV3-66*03,IGHD2-2*02,IGHJ4*02_F,57,218,2,11,1,0,0,3,9,1
IGHV3-23*04,IGHD3-22*01,IGHJ3*02_F,57,221,2,2,3,6,0,6,3,1
IGHV3-NL1*01,IGHD2-2*02,IGHJ1*01_F,57,221,1,0,6,3,0,1,3,1
IGHV3-NL1*01,IGHD3-10*01,IGHJ5*02_F,57,221,0,7,7,3,0,5,7,1
IGHV3-23*04,IGHD3-22*01,IGHJ6*03_F,57,221,4,0,11,4,0,1,1,7
IGHV3/OR15-7*03,IGHD3-10*01,IGHJ6*02_F,57,227,0,3,9,7,0,0,4,1
IGHV3-33*06,IGHD3-10*01,IGHJ3*02_F,57,221,0,6,2,0,0,2,2,3
IGHV3-NL1*01,IGHD2-15*01,IGHJ4*02_F,57,221,0,13,3,0,0,9,5,1
IGHV3-64*04,IGHD6-13*01,IGHJ6*02_F,57,221,0,4,2,7,0,4,2,2
IGHV3-9*02,IGHD3/OR15-3b*01,IGHJ3*02_F,57,221,0,3,6,5,0,0,8,1
IGHV3-72*01,IGHD4-17*01,IGHJ4*02_F,54,224,0,3,2,2,0,12,5,1
IGHV3-23*04,IGHD3-10*01,IGHJ6*02_F,60,224,0,10,8,0,0,4,0,1
IGHV3-74*03,IGHD6-13*01,IGHJ5*02_F,45,209,2,4,2,1,0,0,2,1
IGHV3-64*04,IGHD5-24*01,IGHJ6*02_F,57,221,0,1,4,3,0,0,2,1
IGHV3-53*03,IGHD4-17*01,IGHJ4*02_F,57,218,1,1,0,0,0,2,13,1
IGHV1-18*01,IGHD3-9*01,IGHJ4*02_F,54,218,1,5,2,4,0,3,4,1
IGHV3-23*04,IGHD5-12*01,IGHJ4*02_F,57,221,2,9,2,6,0,13,12,2
IGHV3-33*05,IGHD3-22*01,IGHJ4*02_F,57,221,1,8,7,3,0,9,8,1
IGHV3-64*04,IGHD3-10*01,IGHJ4*02_F,57,221,0,3,10,0,0,6,5,1
IGHV3-NL1*01,IGHD5/OR15-5b*01,IGHJ6*02_F,57,221,0,1,9,8,0,6,3,1
IGHV3-64*04,IGHD6-19*01,IGHJ1*01_F,57,221,1,5,0,0,0,0,10,1
IGHV3-33*06,IGHD3/OR15-3b*01,IGHJ4*02_F,57,221,0,7,2,2,0,4,5,1
IGHV1-69*13,IGHD1-26*01,IGHJ4*02_F,45,209,3,7,0,4,0,8,3,1
IGHV4-30-4*06,IGHD6-6*01,IGHJ2*01_F,48,143,1,0,3,1,0,0,2,1
IGHV3-23*04,IGHD2-15*01,IGHJ4*02_F,57,221,0,4,7,4,0,10,3,1
IGHV3-53*01,IGHD3-10*01,IGHJ4*02_F,57,218,0,3,2,0,0,3,0,1
IGHV3-NL1*01,IGHD5-24*01,IGHJ6*03_F,57,221,1,3,7,1,0,0,6,1
IGHV3-23*04,IGHD1-7*01,IGHJ6*02_F,57,221,0,0,2,4,0,3,0,1
IGHV4/OR15-8*03,IGHD2-2*03,IGHJ6*03_F,69,233,1,3,9,2,0,10,0,1
IGHV4/OR15-8*03,IGHD3-10*01,IGHJ4*02_F,69,233,1,0,10,5,0,5,21,1
IGHV3-53*01,IGHD3-22*01,IGHJ5*02_F,57,218,0,0,6,11,0,3,9,1
IGHV3-53*03,IGHD1-26*01,IGHJ3*02_F,57,218,0,5,1,1,0,0,14,1
IGHV3-23*04,IGHD3-22*01,IGHJ4*02_F,57,221,1,1,10,4,0,11,3,1
IGHV3-66*03,IGHD6-19*01,IGHJ3*02_F,57,218,0,4,2,0,0,8,4,1
IGHV3-33*05,IGHD5-24*01,IGHJ5*02_F,57,221,2,0,4,11,0,6,17,1
IGHV3-23*04,IGHD2-15*01,IGHJ4*02_F,57,221,0,1,7,1,0,7,0,1
IGHV3-43*91,IGHD2-15*01,IGHJ4*02_F,66,230,6,1,1,3,0,2,14,1
IGHV3-23*04,IGHD2-15*01,IGHJ4*02_F,57,221,2,0,5,7,0,5,7,2
IGHV3-33*06,IGHD1-26*01,IGHJ4*02_F,57,221,0,1,3,4,0,14,3,1
IGHV3-53*04,IGHD3-22*01,IGHJ4*02_F,57,218,0,7,6,2,0,7,6,2
IGHV3-h*01,IGHD6-13*01,IGHJ4*02_F,45,206,0,7,0,5,0,7,1,1
IGHV3-NL1*01,IGHD3-22*01,IGHJ1*01_F,57,221,3,3,3,3,0,6,0,1
IGHV3-66*03,IGHD4-23*01,IGHJ4*02_F,57,218,1,5,1,0,0,3,14,1
IGHV3-66*03,IGHD4-23*01,IGHJ6*02_F,57,218,1,3,2,0,0,1,0,1
IGHV3-64*04,IGHD5/OR15-5b*01,IGHJ4*02_F,57,221,0,0,4,0,0,4,6,1
IGHV3-23*04,IGHD3-10*01,IGHJ6*03_F,57,221,1,3,8,11,0,6,0,1
IGHV3-64*04,IGHD3-10*01,IGHJ3*02_F,57,221,0,7,13,4,0,20,0,1
IGHV3-h*02,IGHD4/OR15-4b*01,IGHJ4*02_F,45,206,0,5,6,0,0,9,0,1
IGHV3-33*05,IGHD3-22*01,IGHJ2*01_F,66,230,2,1,3,4,0,6,6,4
IGHV3-30*15,IGHD3-10*01,IGHJ4*02_F,57,221,0,3,1,1,0,3,0,1
IGHV3-64*04,IGHD3-10*01,IGHJ4*02_F,57,221,1,7,3,3,0,8,4,1
IGHV3-73*02,IGHD2-2*02,IGHJ6*03_F,57,227,6,14,1,1,0,5,0,1
IGHV3-64*04,IGHD6-13*01,IGHJ2*01_F,57,221,1,2,3,1,0,6,4,1
IGHV3-73*02,IGHD3-3*01,IGHJ4*02_F,45,215,5,6,9,2,0,8,0,14
IGHV3-33*02,IGHD3-10*01,IGHJ6*02_F,66,230,0,6,8,6,0,8,4,1
IGHV3-23*04,IGHD6-13*01,IGHJ6*02_F,57,221,1,6,7,4,0,11,0,2
IGHV3-NL1*01,IGHD2-8*02,IGHJ6*03_F,57,221,2,11,10,8,0,7,7,2
IGHV3-64*04,IGHD2-2*03,IGHJ1*01_F,57,221,1,13,6,4,0,10,8,1
IGHV3-NL1*01,IGHD3-16*02,IGHJ3*02_F,57,221,0,7,14,2,0,6,7,1
IGHV5-51*02,IGHD6-19*01,IGHJ4*02_F,45,209,1,10,0,2,0,3,6,2
IGHV3-53*02,IGHD3-10*01,IGHJ4*02_F,57,218,0,0,2,1,0,1,2,1
IGHV5-51*02,IGHD3-16*02,IGHJ3*02_F,45,209,1,6,18,0,0,1,2,1
IGHV3-64*04,IGHD2-21*02,IGHJ6*03_F,57,221,0,5,13,1,0,5,0,1
IGHV3-NL1*01,IGHD6-19*01,IGHJ4*02_F,57,221,5,3,2,3,0,21,0,1
IGHV3-h*02,IGHD4-17*01,IGHJ4*02_F,45,206,0,3,2,0,0,6,0,2
IGHV3-7*03,IGHD3-10*01,IGHJ2*01_F,48,212,5,6,8,1,1,5,0,1
IGHV3-NL1*01,IGHD3-10*01,IGHJ6*02_F,48,212,7,5,10,17,0,12,1,1
IGHV4/OR15-8*03,IGHD2-8*02,IGHJ6*03_F,87,251,0,4,14,0,0,19,12,1
IGHV4/OR15-8*03,IGHD4-17*01,IGHJ4*02_F,48,212,2,1,0,2,0,6,3,1
IGHV3-NL1*01,IGHD2-15*01,IGHJ4*02_F,57,221,0,10,6,0,0,4,10,1
IGHV3-53*01,IGHD4-17*01,IGHJ6*02_F,66,227,0,0,0,1,0,5,3,4
IGHV3-NL1*01,IGHD5-5*01,IGHJ6*02_F,57,221,2,0,0,7,0,3,0,1
IGHV1-8*91,IGHD3-10*01,IGHJ3*01_F,63,227,1,9,7,0,0,10,9,1
IGHV3-33*05,IGHD1-26*01,IGHJ6*03_F,57,221,3,1,2,3,0,0,3,1
IGHV1-8*91,IGHD2-15*01,IGHJ4*02_F,51,215,0,13,0,2,0,1,6,1
IGHV3-20*91,IGHD3-22*01,IGHJ4*02_F,45,209,0,6,13,4,0,3,6,1
IGHV3-53*01,IGHD1-26*01,IGHJ5*02_F,57,218,1,0,0,2,0,2,7,1
IGHV2-70*11,IGHD3-16*02,IGHJ6*02_F,57,224,3,9,19,0,0,6,0,1
IGHV3-NL1*01,IGHD1-26*01,IGHJ6*03_F,57,221,4,5,1,0,0,4,0,1
IGHV3-23*04,IGHD2/OR15-2b*01,IGHJ4*02_F,57,221,2,11,5,2,0,3,15,1
IGHV3-NL1*01,IGHD6-6*01,IGHJ4*02_F,57,221,0,0,0,6,0,10,7,1
IGHV3-11*04,IGHD3-10*02,IGHJ5*02_F,45,209,1,10,5,7,0,4,3,1
IGHV3-64*04,IGHD5/OR15-5b*01,IGHJ6*03_F,57,221,0,6,3,10,0,4,6,2
IGHV3-53*02,IGHD3-10*01,IGHJ4*02_F,57,218,0,3,14,4,0,8,13,1
IGHV3-NL1*01,IGHD6-19*01,IGHJ5*02_F,57,221,0,8,1,0,0,7,7,1
IGHV3-23*04,IGHD3-16*02,IGHJ4*02_F,48,212,4,9,7,4,0,4,3,48
IGHV3-NL1*01,IGHD3-10*01,IGHJ4*02_F,57,221,1,0,10,8,0,8,9,2
IGHV3-66*03,IGHD1/OR15-1b*01,IGHJ3*02_F,45,206,1,6,0,6,0,3,8,1
IGHV3-30*15,IGHD5-24*01,IGHJ3*02_F,57,221,1,0,7,0,0,15,0,3
IGHV3-NL1*01,IGHD3-10*01,IGHJ4*02_F,57,221,0,0,4,2,0,4,0,1
IGHV3-64*04,IGHD1-20*01,IGHJ6*02_F,57,221,0,4,0,3,0,2,2,1
IGHV3-64*04,IGHD4-23*01,IGHJ4*02_F,57,221,0,3,1,1,0,12,3,1
IGHV3-64*04,IGHD3-9*01,IGHJ4*02_F,57,221,0,3,11,5,0,7,10,1
IGHV3-NL1*01,IGHD5-12*01,IGHJ4*02_F,45,209,0,9,3,5,0,7,4,1
IGHV3-49*05,IGHD2-15*01,IGHJ4*02_F,39,209,6,20,1,3,0,1,9,1
IGHV3-9*02,IGHD1-26*01,IGHJ3*02_F,45,209,1,2,5,4,0,1,4,1
IGHV3-NL1*01,IGHD4-17*01,IGHJ4*02_F,57,221,0,0,3,4,0,15,5,2
IGHV3-23*04,IGHD6-6*01,IGHJ6*03_F,57,221,6,5,1,11,0,12,7,1
IGHV3-23*04,IGHD1-26*01,IGHJ6*03_F,57,221,3,7,2,3,0,2,7,1
IGHV3-64*04,IGHD3-16*02,IGHJ6*03_F,57,221,1,17,10,9,0,11,3,1
IGHV4-61*08,IGHD3-10*02,IGHJ4*02_F,51,218,0,12,9,2,0,10,6,1
IGHV3-64*04,IGHD3-10*01,IGHJ4*02_F,57,221,1,2,7,5,0,4,9,1
IGHV3-23*04,IGHD2-2*03,IGHJ6*03_F,66,230,1,6,2,6,0,7,0,1
IGHV3-23*04,IGHD6-19*01,IGHJ6*02_F,57,221,1,9,0,9,0,7,5,1
IGHV1-18*01,IGHD2-8*01,IGHJ4*02_F,51,215,0,4,3,7,0,1,5,1
IGHV3-23*04,IGHD3-10*01,IGHJ3*02_F,57,221,0,7,10,5,1,19,0,2
IGHV3-23*04,IGHD3-9*01,IGHJ4*02_F,57,221,1,0,3,3,0,1,4,1
IGHV3-NL1*01,IGHD3-10*01,IGHJ4*02_F,57,221,0,9,2,6,0,9,6,1
IGHV3-NL1*01,IGHD5-12*01,IGHJ4*02_F,45,209,0,6,5,0,0,5,0,1
IGHV1-69*13,IGHD2-8*02,IGHJ6*03_F,45,209,0,1,16,16,0,4,0,1
IGHV3-23*04,IGHD2-2*03,IGHJ4*02_F,57,221,0,9,0,4,0,8,3,1
IGHV3-23*04,IGHD6-13*01,IGHJ2*01_F,45,209,1,3,4,11,0,2,8,1
IGHV3-53*03,IGHD2-2*03,IGHJ6*02_F,72,233,0,3,5,6,0,6,6,1
IGHV3-23*04,IGHD2-2*03,IGHJ4*02_F,57,221,0,6,7,5,0,9,7,1
IGHV4-b*02,IGHD3-10*01,IGHJ4*02_F,45,209,1,4,0,9,0,1,1,1
IGHV3-NL1*01,IGHD5-5*01,IGHJ4*02_F,45,209,4,0,0,4,0,1,4,1
IGHV3-64*04,IGHD3-10*02,IGHJ4*02_F,57,221,1,2,13,6,0,9,12,1
IGHV1-69*13,IGHD4-4*01,IGHJ3*02_F,45,209,1,1,8,0,0,3,6,1
IGHV3-64*04,IGHD3-22*01,IGHJ4*02_F,57,221,0,13,0,2,0,7,6,1
IGHV1-3*01,IGHD5/OR15-5b*01,IGHJ3*02_F,57,221,0,0,4,0,0,8,0,1
IGHV3-11*01,IGHD6-6*01,IGHJ6*03_F,45,209,0,5,7,4,0,0,0,1
IGHV3-NL1*01,IGHD2-21*01,IGHJ4*02_F,57,221,3,2,4,8,0,17,1,1
IGHV3-53*01,IGHD1-26*01,IGHJ4*02_F,57,218,1,3,5,3,0,13,8,1
IGHV3-NL1*01,IGHD3-10*01,IGHJ4*02_F,57,221,0,6,12,0,0,8,8,1
IGHV3-23*04,IGHD2-8*01,IGHJ4*02_F,57,221,1,2,2,6,0,2,7,1
IGHV3-h*02,IGHD3-9*01,IGHJ6*02_F,75,236,2,6,3,1,0,2,11,1
IGHV3-NL1*01,IGHD4/OR15-4b*01,IGHJ6*02_F,57,221,2,2,1,5,0,0,5,1
IGHV3-64*04,IGHD3-3*02,IGHJ6*03_F,57,221,1,2,15,3,0,4,0,2
IGHV3-53*01,IGHD6-19*01,IGHJ6*02_F,57,218,0,6,4,7,0,10,0,1
IGHV3-64*04,IGHD3-16*02,IGHJ3*02_F,57,221,2,20,6,1,0,12,7,1
IGHV3-33*06,IGHD3-9*01,IGHJ6*03_F,57,221,1,0,16,1,0,1,0,1
IGHV3-23*04,IGHD3-22*01,IGHJ6*02_F,57,221,3,0,9,8,0,3,0,1
IGHV3-33*05,IGHD3-22*01,IGHJ4*02_F,57,221,0,5,8,0,0,11,0,1
IGHV3-NL1*01,IGHD3-10*02,IGHJ3*01_F,57,221,2,1,12,0,0,12,0,1
IGHV3-49*05,IGHD5-5*01,IGHJ3*01_F,57,227,0,1,1,2,0,8,3,1
IGHV3-h*02,IGHD3-10*01,IGHJ4*02_F,45,206,1,10,6,2,0,2,3,1
IGHV3-49*05,IGHD3-9*01,IGHJ3*02_F,57,227,1,6,7,1,0,8,3,2
IGHV1-69*13,IGHD5-5*01,IGHJ4*02_F,57,221,1,0,0,1,0,9,2,6
IGHV3-h*02,IGHD3-16*02,IGHJ6*02_F,75,236,0,8,8,3,0,11,3,2
IGHV1-18*01,IGHD1-26*01,IGHJ3*01_F,57,221,0,0,3,0,0,7,3,1
IGHV3-NL1*01,IGHD5-12*01,IGHJ6*02_F,57,221,1,2,2,7,0,1,2,1
IGHV3-NL1*01,IGHD2-21*02,IGHJ4*02_F,57,221,2,5,13,1,0,14,8,1
IGHV3-h*02,IGHD5-24*01,IGHJ3*02_F,45,206,7,0,0,0,0,0,2,1
IGHV3-64*04,IGHD3-10*01,IGHJ4*02_F,57,221,0,1,3,5,0,4,3,2
IGHV5-a*02,IGHD3-16*02,IGHJ5*02_F,99,262,1,1,5,3,0,26,15,1
IGHV3-33*06,IGHD1/OR15-1b*01,IGHJ4*02_F,36,200,5,6,3,0,0,5,0,1
IGHV3-64*04,IGHD2-2*03,IGHJ6*03_F,57,221,1,19,0,11,0,9,5,1
IGHV3-NL1*01,IGHD3-10*01,IGHJ6*02_F,57,221,1,4,11,2,0,1,0,1
IGHV3-NL1*01,IGHD6-6*01,IGHJ5*02_F,57,221,1,2,0,2,0,12,1,4
IGHV3-h*02,IGHD3-3*01,IGHJ4*02_F,45,206,0,0,17,1,0,3,1,1
IGHV3-33*06,IGHD3-22*01,IGHJ4*02_F,57,221,0,6,3,0,0,3,4,1
IGHV3-64*04,IGHD3-3*01,IGHJ4*02_F,57,221,0,6,8,7,0,4,15,1
IGHV3-NL1*01,IGHD3-3*01,IGHJ6*03_F,57,221,3,0,18,1,0,5,0,1
IGHV3-NL1*01,IGHD3-10*01,IGHJ6*03_F,72,236,0,0,3,8,0,8,1,1
IGHV3-33*06,IGHD3-16*02,IGHJ4*02_F,57,221,0,12,7,0,0,6,5,1
IGHV3-23*04,IGHD3-22*01,IGHJ3*01_F,66,230,0,3,5,0,0,8,5,1
IGHV3-33*05,IGHD2-2*02,IGHJ4*02_F,57,221,0,7,2,0,0,4,3,1
IGHV3-h*02,IGHD3/OR15-3b*01,IGHJ4*02_F,36,197,0,11,7,5,0,0,0,1
IGHV3-30*15,IGHD6-19*01,IGHJ1*01_F,57,221,0,5,3,5,0,15,2,1
IGHV3-NL1*01,IGHD1-26*01,IGHJ3*02_F,57,221,2,0,3,1,0,10,3,1
IGHV5-51*02,IGHD3-10*01,IGHJ3*01_F,66,230,1,6,7,0,0,12,7,4
IGHV3-23*04,IGHD3-22*01,IGHJ4*02_F,57,221,0,3,3,7,0,6,5,2
IGHV1-f*01,IGHD7-27*01,IGHJ5*02_F,24,188,1,0,1,15,0,1,0,2
IGHV3-NL1*01,IGHD2-8*01,IGHJ6*02_F,57,221,1,3,5,14,0,3,3,2
IGHV3-33*05,IGHD5-24*01,IGHJ6*02_F,45,209,0,12,3,4,0,1,0,1
IGHV1-18*01,IGHD3-22*01,IGHJ4*02_F,51,215,2,7,5,8,0,6,8,1
IGHV3-NL1*01,IGHD3-10*02,IGHJ3*02_F,57,221,4,10,6,1,0,13,5,1
IGHV3-64*04,IGHD6-13*01,IGHJ4*02_F,57,221,3,3,0,0,0,10,4,1
IGHV3-33*05,IGHD6-6*01,IGHJ2*01_F,57,221,1,1,6,0,0,6,8,1
IGHV3-64*04,IGHD3-3*01,IGHJ4*02_F,57,221,1,1,8,1,0,2,7,1
IGHV1-69*13,IGHD5-5*01,IGHJ3*02_F,45,209,1,3,9,0,0,2,6,7
IGHV3-23*04,IGHD2-15*01,IGHJ6*02_F,57,221,1,7,10,6,1,8,0,1
IGHV3-30*15,IGHD2-2*03,IGHJ6*03_F,75,239,0,5,2,6,0,8,6,2
IGHV3-h*01,IGHD2-15*01,IGHJ6*03_F,45,206,1,15,10,3,0,0,0,1
IGHV3-NL1*01,IGHD3-3*01,IGHJ4*02_F,57,221,0,1,1,4,0,1,3,1
IGHV3-NL1*01,IGHD2-2*03,IGHJ6*03_F,57,221,1,8,9,2,0,3,0,1
IGHV1-18*01,IGHD1-26*01,IGHJ3*02_F,57,221,0,5,5,0,0,6,11,1
IGHV3-66*03,IGHD6-13*01,IGHJ6*03_F,57,218,1,2,3,2,0,1,0,1
IGHV3-64*04,IGHD2-15*01,IGHJ4*02_F,57,221,0,5,5,0,0,8,0,1
IGHV4-61*03,IGHD2-21*02,IGHJ3*02_F,45,212,6,11,4,0,0,8,0,1
IGHV3-NL1*01,IGHD6-19*01,IGHJ6*02_F,57,221,0,6,0,9,0,6,2,1
IGHV3-33*06,IGHD3-22*01,IGHJ4*02_F,57,221,0,7,5,2,0,7,5,1
IGHV3-23*04,IGHD3-3*01,IGHJ4*02_F,57,221,4,0,3,4,0,5,4,1
IGHV3-NL1*01,IGHD1-26*01,IGHJ4*02_F,57,221,1,2,3,5,0,16,4,1
IGHV3-33*03,IGHD3-9*01,IGHJ5*02_F,45,209,3,8,15,2,0,11,0,1
IGHV3-66*03,IGHD2-21*02,IGHJ5*02_F,57,218,0,14,1,4,0,13,4,1
IGHV3-23*04,IGHD7-27*01,IGHJ4*02_F,57,221,3,1,0,1,0,12,11,1
IGHV3-NL1*01,IGHD6-19*01,IGHJ3*02_F,57,221,0,3,0,1,0,7,3,1
IGHV3-64*04,IGHD6-19*01,IGHJ4*02_F,57,221,1,1,2,7,0,9,10,2
IGHV3-64*04,IGHD2-21*01,IGHJ2*01_F,57,221,0,14,0,5,0,10,5,1
IGHV3-64*04,IGHD2/OR15-2b*01,IGHJ4*02_F,57,221,0,1,12,8,0,7,12,1
IGHV3-NL1*01,IGHD3-10*01,IGHJ5*02_F,57,221,0,4,13,6,0,6,12,2
IGHV3-23*04,IGHD3-22*01,IGHJ4*02_F,57,221,0,2,4,0,1,5,0,3
IGHV3-23*04,IGHD3-10*01,IGHJ4*02_F,57,221,1,0,8,6,0,1,12,1
IGHV3-NL1*01,IGHD7-27*01,IGHJ4*02_F,57,221,2,2,1,3,0,24,2,1
IGHV3-53*04,IGHD2-15*01,IGHJ4*02_F,57,218,1,12,1,0,0,6,6,1
IGHV3-66*03,IGHD6-6*01,IGHJ6*03_F,69,230,1,2,0,4,0,9,6,1
IGHV3-53*01,IGHD6-19*01,IGHJ5*02_F,57,218,0,7,3,0,0,8,7,2
IGHV3-33*06,IGHD3-22*01,IGHJ4*02_F,57,221,0,7,9,2,0,16,0,1
IGHV3-53*01,IGHD3-10*02,IGHJ2*01_F,57,218,1,10,1,1,0,0,7,9
IGHV3-66*03,IGHD3-3*01,IGHJ4*02_F,57,218,0,6,4,4,0,2,10,1
IGHV3-30*05,IGHD2-15*01,IGHJ4*02_F,57,221,3,1,6,5,0,7,6,1
IGHV3-66*03,IGHD6-19*01,IGHJ5*02_F,57,218,1,5,0,3,0,6,8,2
IGHV3-33*02,IGHD3-9*01,IGHJ6*02_F,66,230,0,2,10,4,0,8,0,3
IGHV3-NL1*01,IGHD6-6*01,IGHJ4*02_F,57,221,1,4,1,1,0,15,3,1
IGHV3-15*07,IGHD3-3*01,IGHJ6*03_F,69,239,0,0,6,11,0,12,0,1
IGHV3-NL1*01,IGHD6-13*01,IGHJ4*02_F,57,221,0,1,0,6,0,2,13,1
IGHV3-9*02,IGHD5-5*01,IGHJ4*02_F,45,209,1,4,1,7,0,2,6,1
IGHV3-NL1*01,IGHD6-19*01,IGHJ6*02_F,57,221,0,3,5,8,0,0,9,1
IGHV3-23*04,IGHD4-4*01,IGHJ6*03_F,57,221,1,0,5,6,0,10,0,1
IGHV3-NL1*01,IGHD2-2*03,IGHJ3*02_F,57,221,0,1,5,2,0,4,0,1
IGHV3-7*03,IGHD2-2*03,IGHJ5*02_F,45,209,0,13,4,2,0,2,0,1
IGHV3/OR16-12*01,IGHD6-19*01,IGHJ6*02_F,57,221,2,6,1,5,0,9,0,1
IGHV3-23*04,IGHD3-10*01,IGHJ4*02_F,57,221,7,0,10,4,0,18,1,1
IGHV3-NL1*01,IGHD2-2*03,IGHJ4*02_F,57,221,0,6,0,2,0,3,3,1
IGHV3-23*04,IGHD4-4*01,IGHJ5*02_F,45,209,2,2,0,9,0,3,8,1
IGHV3-NL1*01,IGHD6-25*01,IGHJ3*02_F,57,221,3,1,2,2,0,11,6,1
IGHV3-23*04,IGHD6-19*01,IGHJ4*02_F,57,221,0,0,1,2,0,11,0,1
IGHV3-64*04,IGHD3-3*01,IGHJ4*02_F,57,221,0,1,9,5,0,13,0,1
